# left right cach nhau 100
# moi Mario cach nhau 1000

# id	file_path	transparent_color_r	g	b
[TEXTURES]
#---------------------------------------------------------------------
0	textures\mario.png	255	255	255
69	textures\yumetaro.png	0	0	255
10	textures\spritemario.png	68	145	190
20	textures\misc.png	176	224	248
21	textures\miscs.png	224	163	216
22	textures\item.png	166	185	255
1	textures\tilemap1-1.png	255	255	255
30	textures\stage1.png	215	121	214
40	textures\enemies.png	0	255	255
50	textures\map1-1.png	156	252	240
60	textures\hud-font.png	0	224	142
70	textures\goal_roulette.png	0	183	239
-101	textures\bbox_black.png	255	255	255


# name_file	tex_id	width	height
[MAP]
#--------------------------------------------------------------------
maps\map1-1.txt	1	2048	768

# id	left	top	right	bottom	texture_id	xD	yD
[SPRITES]
#--------------------------------------------------------------------
# === BLACK BBOX
90001	0	0	320	280	-101

# === YUMETARO
# idle 
5001	1	1	18	21	69
5002	21	1	38	21	69
# walk
5003	1	23	18	43	69
5004	20	23	37	43	69
5005	38	23	55	43	69
5006	57	23	74	43	69
5007	78	23	95	43	69
5008	98	23	115	43	69
# jump
5009	1	45	18	70	69
# none
5010	21	49	36	66	69

#=== Enemies Black
#Walk
6001	1	0	18	17	40
6002	19	0	36	17	40
#JUMP AND Walk
6003	37	0	54	17	40	
# === BULLET
# Left
24001	768	306	777	314	10
24002	778	306	787	314	10
24003	788	306	797	314	10
24004	798	306	807	314	10
# Right
24101	269	306	278	314	10
24102	259	306	268	314	10
24103	249	306	258	314	10
24104	239	306	248	314	10
# Explode
24105	938	1	954	17	10
24106	958	3	970	15	10
24107	976	3	988	15	10
24108	994	3	1006	15	10

#CAROUSEL SPEED UP
30501	1	171	17	187	30
30502	18	171	34	187	30
30503	35	171	51	187	30
30504	52	171	68	187	30

#CAROUSEL SPEED BACK
30514	1	188	17	204	30
30513	18	188	34	204	30
30512	35	188	51	204	30
30511	52	188	68	204	30
# SLOPE  BRICK
#BACK
30701	480	336	512	368	50
30702	800	320	864	368	50
#UP
30751	544	336	576	368	50
# === QUESTION BRICK
30001	1208	1	1224	17	21
30002	1140	1	1156	17	21
30003	1157	1	1173	17	21
30004	1174	1	1190	17	21
30005	1191	1	1207	17	21

# === CLOUD
30006	698	1	714	17	21

# === COIN
30007	953	69	969	85	21
30008	970	69	986	85	21
30009	987	69	1003	85	21
30010	1004	69	1020	85	21
30011	1021	69	1037	85	21

# === MUSHROOM RED				
30012	156	121	172	137	22

# === MUSHTOOM 1-UP				
30019	286	121	302	137	22

# === LEAF					
30018	180	123	197	137	22

# === BRICK				
30013	254	188	270	204	22

# === BREAKABLE BRICK
30014	274	188	290	204	22
30015	293	188	309	204	22
30016	312	188	328	204	22
30017	331	188	347	204	22

# === BRICK PIECE
30101	1089	103	1098	112	21

# === GOOMBA
# Normal
40001	276	11	293	27	40
40002	299	11	316	27	40
40003	254	18	271	28	40

# === KOOPAS
# == RED
# Left
50001	351	66	368	93	40
50002	370	65	387	92	40
50003	394	74	413	91	40
50004	352	97	369	113	40
50005	373	96	390	112	40
50006	394	96	411	112	40
# Right
50007	280	66	297	93	40
50008	261	65	278	92	40
50009	279	97	296	113	40
50010	258	96	275	112	40
50011	237	96	254	112	40
# Shake
50012	392	74	413	91	40

# == GREEN
# Left
50051	354	118	371	145	40
50052	373	117	390	145	40
50053	397	126	416	143	40
50054	355	148	372	165	40
50055	376	147	393	164	40
50056	397	147	414	164	40
# Right
50057	277	118	294	145	40
50058	258	117	275	145	40
50059	276	148	293	165	40
50060	255	147	272	164	40
50061	234	147	251	164	40
# Shake
50062	395	126	416	143	40
# Wing
50101	428	129	444	156	40
50102	449	129	465	156	40
50103	470	129	486	156	40

# === PIRANHA
# Fire Red
51001	330	33	347	65	40
51002	330	71	347	103	40
# Normal
51003	330	107	347	131	40
51004	330	137	347	161	40
# Fire
51005	329	165	346	190	40
51006	329	194	347	219	40

# === WARPPIPE
# Green
52001	352	368	383	416	50
52002	1792	384	1824	416	50
52003	1856	368	1888	416	50
52004	2255	112	2286	304	50
52005	2256	384	2285	416	50
52006	2320	384	2349	416	50
# Dark
52101	2096	464	2128	496	50
52102	2320	464	2352	496	50

# === PARA GOOMBA
# Wing
53001	389	35	409	59	40
53002	413	35	433	59	40
53003	439	35	459	59	40
53004	463	35	483	59	40
# Nor
53005	427	70	443	86	40
53006	448	70	464	86	40
53007	468	77	484	87	40

# === P SWITCH
54001	1174	69	1190	85	21
54002	1191	69	1207	85	21
54003	1208	69	1224	85	21
54004	1225	69	1241	85	21

# === HUD
55001	11	127	165	157	60
55002	171	127	245	157	60
# Icon Mario
55003	15	160	33	169	60
# Icon Lugi
55004	15	170	33	179	60
# Power filled arrow
55005	63	161	72	170	60
# Power filled icon-P
55006	72	161	88	170	60
# Power empty arrow
55007	90	161	99	170	60
# Power empty icon-P
55008	99	161	116	170	60
# Empty card
55009	160	160	183	186	60
# Mushroom card
55010	184	160	208	186	60
# Fire flower card
55011	208	160	232	186	60
# Star card
55012	232	160	256	186	60
# Font - 0
55013	76	30	86	40	60
# Font - 1
55014	86	30	96	40	60
# Font - 2
55015	96	30	106	40	60
# Font - 3
55016	106	30	116	40	60
# Font - 4
55017	116	30	126	40	60
# Font - 5
55018	126	30	136	40	60
# Font - 6
55019	136	30	146	40	60
# Font - 7
55020	146	30	156	40	60
# Font - 8
55021	156	30	166	40	60
# Font - 9
55022	166	30	176	40	60
# Font - A
55023	176	30	186	40	60
# Font - B
55024	186	30	196	40	60
# Font - C
55025	76	40	86	50	60
# Font - D
55026	86	40	96	50	60
# Font - E
55027	96	40	106	50	60
# Font - F
55028	106	40	116	50	60
# Font - G
55029	116	40	126	50	60
# Font - H
55030	126	40	136	50	60
# Font - I
55031	136	40	146	50	60
# Font - J
55032	146	40	156	50	60
# Font - K
55033	156	40	166	50	60
# Font - L
55034	166	40	176	50	60
# Font - M
55035	176	40	186	50	60
# Font - N
55036	186	40	196	50	60
# Font - O
55037	76	50	86	60	60
# Font - P
55038	86	50	96	60	60
# Font - Q
55039	96	50	106	60	60
# Font - R
55040	106	50	116	60	60
# Font - S
55041	116	50	126	60	60
# Font - T
55042	126	50	136	60	60
# Font - U
55043	136	50	146	60	60
# Font - V
55044	146	50	156	60	60
# Font - W
55045	156	50	166	60	60
# Font - X
55046	166	50	176	60	60
